index,items,freq
0,be,224305
1,the,209722
2,"the,be",134709
3,of,122218
4,in,121553
5,to,117170
6,a,111630
7,and,108578
8,what,99866
9,"of,the",96248
10,"in,the",80991
11,"what,be",76978
12,do,75937
13,"of,be",75482
14,"and,the",75151
15,"in,be",72235
16,"to,the",71973
17,"to,be",71243
18,"and,be",65132
19,"a,be",62803
20,how,62565
21,"of,the,be",61288
22,"a,the",58389
23,for,56804
24,"what,the",54997
25,i,54095
26,"in,the,be",51890
27,have,48383
28,"and,of",48232
29,"what,the,be",47358
30,"and,the,be",47267
31,"in,of",47167
32,"to,the,be",46080
33,"and,in",42908
34,"a,to",42378
35,"a,of",42143
36,"and,of,the",40867
37,"a,in",40490
38,"in,of,the",40377
39,"to,in",40098
40,"and,to",39752
41,"to,of",39701
42,on,39337
43,can,38193
44,"a,the,be",36661
45,it,36416
46,"for,be",36380
47,"and,a",36279
48,that,35960
49,with,34666
50,"for,the",34087
51,"to,of,the",33371
52,"and,in,the",33359
53,'s,32820
54,"a,of,the",32481
55,"how,do",31286
56,as,30407
57,"have,the",29878
58,"to,in,the",29683
59,"and,to,the",29683
60,"and,of,be",29550
61,"in,of,be",29247
62,"i,how",28097
63,from,27315
64,"a,in,the",26849
65,"a,to,be",26733
66,"and,in,be",26504
67,"what,of",26465
68,you,26416
69,"it,be",26040
70,"a,to,the",26013
71,"that,be",25785
72,by,25755
73,"a,of,be",25585
74,"what,to",25425
75,"on,the",25421
76,"in,of,the,be",25406
77,"and,of,the,be",25371
78,"to,in,be",25351
79,"and,a,the",25204
80,"that,the",24734
81,"to,of,be",24602
82,"and,to,be",24590
83,why,24578
84,"have,be",24459
85,which,24365
86,"a,in,be",23875
87,"for,the,be",23587
88,an,23562
89,or,23156
90,"what,in",22822
91,"i,do",22724
92,at,22637
93,"'s,the",22562
94,"and,in,of",22401
95,"what,of,be",22213
96,"do,the",22129
97,"and,a,be",22038
98,"with,the",21748
99,"as,the",21696
100,"and,in,the,be",21030
101,"on,be",20933
102,"to,of,the,be",20868
103,"for,a",20646
104,"a,of,the,be",20270
105,"it,to",20132
106,"what,a",19982
107,"and,in,of,the",19974
108,"what,of,the",19794
109,"have,to",19777
110,"by,the",19706
111,best,19650
112,"do,a",19408
113,"do,to",19359
114,"can,i",19322
115,"and,to,of",19258
116,"and,a,of",18984
117,"to,in,the,be",18980
118,"what,and",18976
119,"have,a",18907
120,"a,in,of",18902
121,"do,what",18818
122,my,18789
123,"have,and",18692
124,"for,in",18686
125,"by,be",18656
126,"and,to,the,be",18629
127,"what,to,be",18608
128,"for,to",18591
129,"with,be",18521
130,"it,the",18421
131,"have,of",18345
132,"which,be",18054
133,"that,the,be",18050
134,"what,in,be",18043
135,"as,be",17967
136,"how,be",17934
137,"do,be",17855
138,"to,in,of",17703
139,"from,the",17660
140,"for,and",17647
141,some,17637
142,"best,the",17490
143,"what,of,the,be",17450
144,"best,be",17321
145,"and,to,in",17230
146,"a,to,of",17159
147,"have,in",17139
148,"how,a",16994
149,"and,to,of,the",16955
150,"a,to,the,be",16917
151,"have,the,be",16900
152,"for,of",16893
153,"i,a",16858
154,"a,to,in",16834
155,"which,the",16816
156,"'s,be",16798
157,"a,in,the,be",16779
158,"can,how",16699
159,"do,in",16430
160,"and,a,in",16290
161,"and,a,to",16078
162,not,15955
163,"at,the",15897
164,"a,in,of,the",15836
165,"and,a,the,be",15824
166,if,15792
167,"that,of",15789
168,"to,in,of,the",15769
169,"and,a,of,the",15743
170,"best,the,be",15724
171,"what,and,be",15529
172,"as,of",15508
173,use,15405
174,"how,the",15328
175,"i,how,do",15261
176,"that,to",15236
177,who,15170
178,"or,be",15109
179,"it,to,be",15019
180,"on,the,be",14987
181,get,14909
182,"what,a,be",14832
183,"my,i",14811
184,"have,of,the",14810
185,"that,a",14749
186,"what,in,the",14700
187,"i,to",14676
188,"by,the,be",14619
189,"with,and",14558
190,"on,a",14482
191,this,14455
192,"with,a",14444
193,"on,of",14414
194,"for,what",14359
195,"some,be",14287
196,"as,and",14266
197,"it,a",14266
198,"from,be",14263
199,"with,of",14209
200,"that,and",14201
201,"i,be",14166
202,"what,to,the",14158
203,"and,to,in,the",14152
204,when,14091
205,"a,to,of,the",14091
206,"as,a",14035
207,"and,in,of,be",13991
208,"for,of,the",13941
209,"on,to",13817
210,"how,in",13778
211,"'s,of",13777
212,"on,and",13688
213,his,13604
214,"that,in",13601
215,"an,be",13563
216,"i,in",13488
217,"have,to,the",13436
218,he,13426
219,"it,the,be",13386
220,"for,in,the",13367
221,"that,of,the",13343
222,"as,the,be",13337
223,"as,of,the",13292
224,"at,be",13272
225,"have,and,the",13250
226,"for,a,be",13234
227,"with,to",13230
228,"with,in",13210
229,make,13199
230,"an,the",13106
231,"how,to",13027
232,"which,the,be",13015
233,"by,of",12965
234,"for,and,the",12943
235,one,12862
236,"what,and,the",12846
237,but,12837
238,"do,and",12815
239,"as,in",12775
240,"with,the,be",12709
241,"have,in,the",12703
242,should,12702
243,"what,in,the,be",12676
244,"why,be",12614
245,"for,to,be",12586
246,"and,in,of,the,be",12554
247,"you,do",12529
248,"and,a,in,the",12525
249,"for,to,the",12499
250,"on,of,the",12496
251,their,12480
252,"as,to",12476
253,"'s,to",12467
254,"best,what",12465
255,there,12452
256,"'s,and",12451
257,"do,of",12434
258,they,12429
259,"can,a",12402
260,"for,a,the",12376
261,"for,in,be",12327
262,"a,to,in,the",12321
263,"'s,in",12217
264,"it,and",12156
265,"from,to",12128
266,"for,what,be",12113
267,"and,to,of,be",12106
268,"and,a,to,the",11995
269,"'s,the,be",11932
270,"or,the",11926
271,"it,in",11919
272,"i,the",11891
273,"there,be",11884
274,"with,of,the",11849
275,"by,and",11837
276,say,11764
277,"what,to,the,be",11730
278,after,11720
279,"a,in,of,be",11674
280,"'s,of,the",11665
281,"and,a,of,be",11663
282,"best,what,the",11614
283,"by,of,the",11612
284,"can,be",11573
285,"have,to,be",11568
286,"why,do",11553
287,would,11545
288,will,11520
289,"that,to,the",11479
290,"best,what,be",11458
291,"for,and,be",11441
292,"that,of,be",11440
293,"have,a,the",11430
294,"on,in",11407
295,"as,and,the",11349
296,"can,i,how",11331
297,"what,and,the,be",11189
298,people,11133
299,"it,of",11132
300,"that,to,be",11093
301,"can,the",11082
302,"to,in,of,be",11076
303,"that,and,the",11070
304,most,10989
305,"and,to,in,be",10946
306,"not,be",10938
307,"a,to,of,be",10938
308,"for,of,be",10910
309,"with,and,the",10899
310,"a,to,in,be",10876
311,"'s,a",10851
312,"that,in,the",10797
313,"on,and,the",10776
314,"best,what,the,be",10725
315,"and,to,of,the,be",10675
316,"from,of",10643
317,"have,and,be",10638
318,about,10587
319,"which,in",10542
320,like,10518
321,"by,in",10479
322,"that,a,be",10479
323,"some,what",10459
324,"who,be",10427
325,"from,and",10333
326,"some,what,be",10312
327,"and,a,to,be",10289
328,"as,in,the",10288
329,"have,of,be",10272
330,"that,a,the",10248
331,"have,a,be",10244
332,"it,a,be",10244
333,"that,and,be",10207
334,"from,the,be",10180
335,between,10143
336,"can,in",10131
337,"on,to,the",10106
338,"and,a,in,be",10106
339,"with,in,the",10047
340,time,9996
341,"by,and,the",9976
342,"'s,and,the",9971
343,"a,in,of,the,be",9876
344,"to,in,of,the,be",9871
345,your,9866
346,"that,in,be",9866
347,"at,the,be",9819
348,"as,a,the",9797
349,"and,a,of,the,be",9794
350,"'s,in,the",9757
351,"that,of,the,be",9752
352,"who,the",9743
353,"from,a",9732
354,"what,a,the",9714
355,"you,be",9671
356,"on,a,the",9667
357,"have,in,be",9643
358,"by,a",9612
359,"by,to",9604
360,"as,to,the",9572
361,"it,to,the",9572
362,"by,of,be",9541
363,"at,of",9536
364,"and,to,in,of",9529
365,"and,a,in,of",9527
366,"as,of,be",9525
367,"i,and",9507
368,"an,to",9454
369,"not,the",9453
370,"an,of",9384
371,"'s,to,the",9364
372,"with,to,the",9354
373,"most,the",9302
374,"if,be",9264
375,"from,in",9259
376,"with,a,the",9239
377,"you,the",9210
378,"how,and",9207
379,more,9205
380,"for,in,the,be",9204
381,"from,of,the",9190
382,"between,and",9169
383,"on,in,the",9165
384,"for,of,the,be",9143
385,"this,be",9137
386,"you,what",9134
387,other,9128
388,"have,and,of",9090
389,"an,in",9078
390,"use,be",9058
391,"which,of",9043
392,"a,to,of,the,be",9036
393,"have,do",9007
394,"and,to,in,the,be",9003
395,"by,in,the",8989
396,"that,have",8973
397,"this,the",8969
398,"his,the",8967
399,india,8928
400,"for,what,the",8923
401,new,8891
402,"it,in,be",8839
403,"have,a,to",8787
404,"from,to,the",8770
405,"by,and,be",8770
406,"how,do,a",8764
407,"can,to",8759
408,"and,a,to,of",8737
409,"and,to,in,of,the",8724
410,"or,a",8719
411,"for,a,to",8709
412,"at,a",8691
413,"it,of,the",8686
414,"it,and,be",8683
415,"he,the",8676
416,"have,and,to",8671
417,"but,the",8670
418,also,8666
419,"i,what",8659
420,"for,to,the,be",8638
421,"at,and",8634
422,"how,of",8632
423,"but,be",8630
424,"as,and,be",8617
425,"for,and,the,be",8582
426,"by,of,the,be",8571
427,"you,how",8568
428,"have,of,the,be",8566
429,"it,a,to",8551
430,"use,the",8545
431,"as,and,of",8521
432,"at,of,the",8487
433,"on,of,be",8471
434,"that,to,the,be",8443
435,"between,the",8428
436,"as,a,be",8422
437,"have,a,of",8404
438,"do,the,be",8385
439,"or,to",8365
440,"what,a,the,be",8356
441,"with,and,be",8342
442,"a,to,in,of",8338
443,"an,the,be",8322
444,"for,a,the,be",8305
445,its,8295
446,"and,a,in,of,the",8293
447,"when,be",8291
448,good,8279
449,"as,of,the,be",8261
450,"or,the,be",8256
451,"on,to,be",8254
452,where,8250
453,"which,to",8240
454,"for,and,of",8231
455,"have,to,of",8214
456,"have,to,the,be",8207
457,take,8195
458,state,8177
459,"with,of,be",8176
460,"which,in,the",8164
461,"at,in",8162
462,"have,and,a",8148
463,"have,in,of",8146
464,than,8135
465,n't,8121
466,first,8115
467,"an,a",8107
468,all,8107
469,"i,for",8105
470,"have,and,in",8101
471,"i,how,a",8100
472,"that,and,the,be",8075
473,"for,what,the,be",8069
474,"most,be",8062
475,"from,and,the",8055
476,"it,of,be",8047
477,"for,a,in",8045
478,"a,to,in,the,be",8032
479,"it,do",8030
480,"with,a,be",8020
481,work,8012
482,"it,and,the",8003
483,"as,in,be",7999
484,"with,to,be",7992
485,"which,in,be",7988
486,"which,and",7981
487,"as,to,be",7971
488,"have,and,the,be",7963
489,"or,of",7946
490,"on,and,be",7939
491,"by,to,the",7924
492,"that,in,the,be",7896
493,"one,the",7891
494,"and,a,in,the,be",7888
495,"at,to",7886
496,"have,for",7864
497,"on,a,be",7862
498,"for,do",7848
499,"an,and",7842
500,"my,how",7841
501,"'s,of,be",7835
502,"by,in,be",7813
503,"that,and,of",7804
504,"which,of,the",7775
505,know,7774
506,"when,the",7772
507,"do,to,the",7755
508,"he,be",7750
509,"for,a,of",7743
510,"between,and,the",7739
511,any,7733
512,"do,of,the",7726
513,into,7723
514,"have,to,in",7715
515,"and,a,to,the,be",7713
516,"say,the",7696
517,"they,be",7676
518,"and,a,to,in",7669
519,"you,a",7666
520,"after,the",7664
521,"have,and,of,the",7656
522,"i,of",7650
523,"for,and,in",7649
524,"'s,a,the",7636
525,"it,in,the",7633
526,"it,what",7625
527,"should,i",7624
528,"their,the",7617
529,"or,in",7609
530,"for,and,a",7603
531,"with,in,be",7596
532,many,7595
533,"as,a,of",7586
534,"they,the",7585
535,"that,a,of",7580
536,"and,a,to,of,the",7564
537,"with,and,of",7548
538,"as,and,of,the",7535
539,"on,of,the,be",7527
540,"for,and,to",7525
541,"do,to,be",7514
542,"by,a,the",7507
543,"one,be",7506
544,"my,i,how",7505
545,"do,what,be",7499
546,"what,a,to",7490
547,"'s,what",7489
548,"for,in,of",7477
549,"have,in,the,be",7476
550,"have,a,in",7472
551,"that,a,the,be",7444
552,"an,of,the",7437
553,"why,the",7434
554,"by,and,the,be",7413
555,"that,to,of",7402
556,"as,in,of",7390
557,so,7379
558,"some,of",7371
559,"get,i",7332
560,"some,the",7323
561,"between,be",7320
562,"do,in,the",7317
563,"from,in,the",7276
564,"a,to,in,of,the",7270
565,"which,a",7270
566,"my,be",7252
567,"say,be",7246
568,become,7242
569,"can,of",7228
570,"my,do",7207
571,"how,the,be",7189
572,"for,to,in",7189
573,"for,and,of,the",7161
574,"can,and",7159
575,"that,in,of",7152
576,"state,the",7139
577,"that,a,to",7103
578,"it,a,the",7094
579,"who,the,be",7090
580,"i,do,a",7085
581,"it,to,the,be",7077
582,"have,in,of,the",7066
583,"time,the",7064
584,find,7047
585,"by,and,of",7035
586,"most,the,be",7016
587,"if,the",7015
588,"as,and,the,be",6999
589,we,6992
590,"have,to,of,the",6991
591,"by,a,be",6981
592,"that,and,to",6974
593,"by,to,be",6964
594,"with,of,the,be",6944
595,"'s,in,be",6930
596,"best,to",6924
597,"from,to,be",6923
598,"for,to,of",6902
599,"his,be",6896
600,"'s,and,be",6875
601,"that,and,of,the",6864
602,"at,and,the",6857
603,"on,and,of",6855
604,her,6851
605,"have,a,the,be",6848
606,go,6837
607,"with,a,of",6835
608,"not,the,be",6823
609,"'s,to,be",6815
610,"as,and,in",6768
611,"by,in,the,be",6736
612,"'s,of,the,be",6727
613,"not,to",6726
614,"between,and,be",6705
615,"how,do,the",6692
616,"with,in,of",6689
617,"use,to",6684
618,"at,in,the",6683
619,"this,of",6666
620,"as,in,of,the",6660
621,world,6660
622,"have,what",6659
623,out,6652
624,"that,it",6649
625,"it,have",6643
626,"with,and,in",6622
627,"as,to,of",6618
628,"'s,and,of",6609
629,"have,a,of,the",6605
630,"it,for",6590
631,"from,a,the",6588
632,"on,in,be",6586
633,"make,the",6584
634,"which,of,be",6578
635,"have,and,to,the",6569
636,"that,and,a",6568
637,"what,in,of",6564
638,"with,and,of,the",6557
639,"as,in,the,be",6553
640,"that,have,the",6553
641,up,6548
642,"you,to",6546
643,"my,to",6537
644,"with,and,a",6534
645,"for,in,of,the",6533
646,"that,to,of,the",6514
647,"for,how",6506
648,"it,to,in",6506
649,"his,to",6494
650,"by,and,of,the",6494
651,"that,and,in",6494
652,"will,the",6469
653,"as,and,a",6464
654,"have,and,in,the",6464
655,"best,to,the",6450
656,"it,a,to,be",6450
657,"good,be",6440
658,"do,a,to",6437
659,"with,and,the,be",6436
660,"that,a,in",6426
661,"their,be",6426
662,"on,and,the,be",6422
663,"what,to,in",6421
664,"do,what,the",6416
665,"on,a,of",6411
666,"with,have",6392
667,"on,have",6391
668,"which,to,the",6390
669,"as,a,of,the",6385
670,"that,in,of,the",6379
671,"i,to,be",6376
672,"on,a,to",6374
673,"as,and,to",6371
674,"it,of,the,be",6363
675,"which,in,the,be",6363
676,"but,to",6351
677,"on,do",6339
678,"my,i,do",6338
679,"how,do,to",6337
680,"he,to",6334
681,"after,be",6330
682,"first,the",6326
683,"or,and",6323
684,"which,and,the",6307
685,"that,a,of,the",6307
686,"between,the,be",6305
687,"its,the",6299
688,"do,what,to",6298
689,"with,a,to",6298
690,"an,in,the",6296
691,"that,to,in",6294
692,"for,a,of,the",6289
693,"as,a,to",6285
694,"also,the",6262
695,"if,a",6260
696,"with,and,to",6253
697,"and,a,to,in,the",6250
698,way,6249
699,"how,do,in",6245
700,"would,the",6241
701,"it,and,to",6234
702,"one,of",6211
703,"or,of,the",6193
704,"as,a,in",6192
705,"at,a,the",6190
706,"'s,in,of",6181
707,"on,and,of,the",6180
708,"on,to,the,be",6173
709,"his,and",6166
710,"as,to,the,be",6165
711,"as,a,the,be",6151
712,"his,of",6146
713,"which,to,be",6146
714,"best,to,be",6145
715,"this,to",6139
716,"with,a,in",6137
717,"i,do,to",6132
718,"your,be",6123
719,"would,be",6121
720,"this,the,be",6116
721,"for,and,in,the",6111
722,"from,of,be",6110
723,"by,in,of",6100
724,"india,in",6085
725,"on,what",6078
726,"his,in",6072
727,"on,and,to",6071
728,"and,to,in,of,be",6059
729,"have,to,in,the",6054
730,"other,the",6044
731,"my,can",6021
732,"but,the,be",6011
733,"for,a,to,be",6007
734,two,6005
735,"with,in,the,be",6005
736,"that,have,be",6002
737,"an,to,the",6001
738,"make,be",5988
739,"an,to,be",5986
740,"do,and,the",5972
741,"time,be",5968
742,"for,to,of,the",5951
743,"at,to,the",5948
744,"and,a,in,of,be",5945
745,"like,be",5939
746,"world,the",5939
747,"i,a,be",5937
748,"if,to",5915
749,"about,be",5915
750,"have,a,to,the",5914
